epoch,train_loss,train_dice,train_jaccard,dice_score,jaccard_score
0,1.0510962512255846,0.17332275,0.12083670292331947,tensor(0.2982),0.23657446818293568
1,0.6294702863523746,0.28566197,0.2230435676205267,tensor(0.3621),0.30047466911715065
2,0.4345578835897536,0.33149877,0.27293751138332367,tensor(0.5557),0.4952830354501994
3,0.3200639602132318,0.35439283,0.29783680977760507,tensor(0.3107),0.24340374667620743
4,0.26820918843503244,0.36109963,0.30521672791116844,tensor(0.2602),0.1996282914579174
5,0.2678562648135339,0.34963793,0.2934414885759016,tensor(0.6153),0.5598789176546471
6,0.2910822869688979,0.34324977,0.2865614341349283,tensor(0.3381),0.2849832948663888
7,0.25664503847676995,0.3446471,0.2873868664918647,tensor(0.4940),0.44210954557144627
8,0.1862903105986627,0.37644422,0.3233087730777471,tensor(0.5314),0.49298627669947226
9,0.17056377853544968,0.38069233,0.3270775042224846,tensor(0.5301),0.49306292918910194
10,0.12707137496550502,0.40181366,0.35113485439106273,tensor(0.3739),0.33772959636101046
11,0.14606275819065448,0.39174438,0.34071400716585404,tensor(0.4778),0.44133107879170047
12,0.1343325645225873,0.39455733,0.34238053408749064,tensor(0.4823),0.44815789140627293
13,0.11257560943116508,0.4071371,0.35843615206211277,tensor(0.7452),0.6995608758319338
14,0.10666578282465301,0.40972912,0.36139038349112546,tensor(0.6912),0.6557228289093114
15,0.1290414048032173,0.3955303,0.34519475692001916,tensor(0.3846),0.3327426129252452
16,0.11424802411435904,0.4030147,0.35367098345270953,tensor(0.4897),0.45270374616653725
17,0.137184719939085,0.39090925,0.33991374149875503,tensor(0.6489),0.6103421511340292
18,0.12500293794754558,0.3968827,0.34712206099901666,tensor(0.3883),0.33684331723605926
19,0.11695534538177517,0.3993682,0.3485981285160933,tensor(0.6995),0.6631406802869118
